BC:34:00:E0:00:00/28	LLDTechn	LLD Technology Ltd.
BC:34:00:F0:00:00/28	Private
BC:35:E5	Hydro	Hydro Systems Company
BC:38:65	Jwcnetwo	Jwcnetworks
BC:38:D2	Pandachi	Pandachip Limited
BC:39:A6	CSUNSyst	CSUN System Technology Co.,LTD
BC:39:D9	Z-Tec
BC:3A:EA	Guangdon	Guangdong Oppo Mobile Telecommunications Corp.,Ltd
BC:3B:AF	Apple	Apple, Inc.
BC:3D:85	HuaweiTe	Huawei Technologies Co.,Ltd
BC:3E:07	HitronTe	Hitron Technologies. Inc
BC:3E:13	Accordan	Accordance Systems Inc.
BC:3E:CB	vivoMobi	vivo Mobile Communication Co., Ltd.
BC:3F:4E	Teleepoc	Teleepoch Ltd
BC:3F:8F	HuaweiTe	Huawei Technologies Co.,Ltd
BC:41:00	CODACOEL	CODACO ELECTRONIC s.r.o.
BC:41:01	Shenzhen	Shenzhen TINNO Mobile Technology Corp.
BC:42:8C	Alpsalpi	Alpsalpine Co,.Ltd
BC:43:77	HangZhou	Hang Zhou Huite Technology Co.,ltd.
BC:44:34	Shenzhen	Shenzhen TINNO Mobile Technology Corp.
BC:44:86	SamsungE	Samsung Electronics Co.,Ltd
BC:44:B0	Elastifi	Elastifile
BC:45:2E	Knowledg	Knowledge Development for POF S.L.
BC:45:5B	SamsungE	Samsung Electronics Co.,Ltd
BC:46:99	Tp-LinkT	Tp-Link Technologies Co.,Ltd.
BC:47:60	SamsungE	Samsung Electronics Co.,Ltd
BC:4A:56	Cisco	Cisco Systems, Inc
BC:4B:79	SensingT	SensingTek
BC:4C:A0	HuaweiTe	Huawei Technologies Co.,Ltd
BC:4C:C4	Apple	Apple, Inc.
BC:4D:FB	HitronTe	Hitron Technologies. Inc
BC:4E:3C	CoreStaf	Core Staff Co., Ltd.
BC:4E:5D	ZhongMia	ZhongMiao Technology Co., Ltd.
BC:51:FE	Swanncom	Swann communications Pty Ltd
BC:52:B4	Nokia
BC:52:B7	Apple	Apple, Inc.
BC:54:2F	IntelCor	Intel Corporate
